pokedex_number,name,generation,is_sub_legendary,is_legendary,is_mythical,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_experience,growth_rate,against_Normal,against_Fire,against_Water,against_Electric,against_Grass,against_Ice,against_Fight,against_Poison,against_Ground,against_Flying,against_Psychic,against_Bug,against_Rock,against_Ghost,against_Dragon,against_Dark,against_Steel,against_Fairy
195,Quagsire,2,0,0,0,Water Fish Pokémon,2,Water,Ground,1.4,75.0,3,Damp,Water Absorb,Unaware,430.0,95.0,85.0,85.0,65.0,65.0,35.0,90.0,151.0,Medium Fast,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
196,Espeon,2,0,0,0,Sun Pokémon,1,Psychic,,0.9,26.5,2,Synchronize,,Magic Bounce,525.0,65.0,65.0,60.0,130.0,95.0,110.0,45.0,184.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
197,Umbreon,2,0,0,0,Moonlight Pokémon,1,Dark,,1.0,27.0,2,Synchronize,,Inner Focus,525.0,95.0,65.0,110.0,60.0,130.0,65.0,45.0,184.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
198,Murkrow,2,0,0,0,Royal Pokémon,2,Water,Psychic,2.0,79.5,3,Oblivious,Own Tempo,Regenerator,490.0,95.0,75.0,80.0,100.0,110.0,30.0,70.0,172.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
199,Slowking,2,0,0,0,Royal Pokémon,2,Water,Psychic,2.0,79.5,3,Oblivious,Own Tempo,Regenerator,490.0,95.0,75.0,80.0,100.0,110.0,30.0,,,,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
200,Misdreavus,2,0,0,0,Screech Pokémon,1,Ghost,,0.7,1.0,1,Levitate,,,435.0,60.0,60.0,60.0,85.0,85.0,85.0,45.0,87.0,Fast,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0
201,Unown,2,0,0,0,Symbol Pokémon,1,Psychic,,0.5,5.0,1,Levitate,,,336.0,48.0,72.0,48.0,72.0,48.0,48.0,225.0,118.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
202,Wobbuffet,2,0,0,0,Patient Pokémon,1,Psychic,,1.3,28.5,2,Shadow Tag,,Telepathy,405.0,190.0,33.0,58.0,33.0,58.0,33.0,45.0,142.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
203,Girafarig,2,0,0,0,Long Neck Pokémon,2,Normal,Psychic,1.5,41.5,3,Inner Focus,Early Bird,Sap Sipper,455.0,70.0,80.0,65.0,90.0,65.0,85.0,60.0,159.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,1.0,2.0,1.0,1.0
204,Pineco,2,0,0,0,Bagworm Pokémon,1,Bug,,0.6,7.2,2,Sturdy,,Overcoat,290.0,50.0,65.0,90.0,35.0,35.0,15.0,190.0,58.0,Medium Fast,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
205,Forretress,2,0,0,0,Bagworm Pokémon,2,Bug,Steel,1.2,125.8,2,Sturdy,,Overcoat,465.0,75.0,90.0,140.0,60.0,60.0,40.0,75.0,163.0,Medium Fast,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5
206,Dunsparce,2,0,0,0,Land Snake Pokémon,1,Normal,,1.5,14.0,3,Serene Grace,Run Away,Rattled,415.0,100.0,70.0,70.0,65.0,65.0,45.0,190.0,145.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
207,Gligar,2,0,0,0,FlyScorpion Pokémon,2,Ground,Flying,1.1,64.8,3,Hyper Cutter,Sand Veil,Immunity,430.0,65.0,75.0,105.0,35.0,65.0,85.0,60.0,86.0,Medium Slow,1.0,1.0,2.0,0.0,1.0,4.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
208,Steelix,2,0,0,0,Iron Snake Pokémon,2,Steel,Ground,9.2,400.0,3,Rock Head,Sturdy,Sheer Force,510.0,75.0,85.0,200.0,55.0,65.0,30.0,25.0,179.0,Medium Fast,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
208,Mega Steelix,2,0,0,0,Iron Snake Pokémon,2,Steel,Ground,10.5,740.0,1,Sand Force,,,610.0,75.0,125.0,230.0,55.0,95.0,30.0,25.0,214.0,Medium Fast,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
209,Snubbull,2,0,0,0,Fairy Pokémon,1,Fairy,,0.6,7.8,3,Intimidate,Run Away,Rattled,300.0,60.0,80.0,50.0,40.0,40.0,30.0,190.0,60.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
210,Granbull,2,0,0,0,Fairy Pokémon,1,Fairy,,1.4,48.7,3,Intimidate,Quick Feet,Rattled,450.0,90.0,120.0,75.0,60.0,60.0,45.0,75.0,158.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
211,Qwilfish,2,0,0,0,Balloon Pokémon,2,Water,Poison,0.5,3.9,3,Poison Point,Swift Swim,Intimidate,440.0,65.0,95.0,85.0,55.0,55.0,85.0,45.0,88.0,Medium Fast,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
212,Scizor,2,0,0,0,Pincer Pokémon,2,Bug,Steel,1.8,118.0,3,Swarm,Technician,Light Metal,500.0,70.0,130.0,100.0,55.0,80.0,65.0,25.0,175.0,Medium Fast,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5
212,Mega Scizor,2,0,0,0,Pincer Pokémon,2,Bug,Steel,2.0,125.0,1,Technician,,,600.0,70.0,150.0,140.0,65.0,100.0,75.0,25.0,210.0,Medium Fast,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5
213,Shuckle,2,0,0,0,Mold Pokémon,2,Bug,Rock,0.6,20.5,3,Sturdy,Gluttony,Contrary,505.0,20.0,10.0,230.0,10.0,230.0,5.0,190.0,177.0,Medium Slow,0.5,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
214,Heracross,2,0,0,0,Single Horn Pokémon,2,Bug,Fighting,1.5,54.0,3,Swarm,Guts,Moxie,500.0,80.0,125.0,75.0,40.0,95.0,85.0,45.0,175.0,Slow,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,4.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0
214,Mega Heracross,2,0,0,0,Single Horn Pokémon,2,Bug,Fighting,1.7,62.5,1,Skill Link,,,600.0,80.0,185.0,115.0,40.0,105.0,75.0,45.0,210.0,Slow,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,4.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0
215,Sneasel,2,0,0,0,Sharp Claw Pokémon,2,Dark,Ice,0.9,28.0,3,Inner Focus,Keen Eye,Pickpocket,430.0,55.0,95.0,55.0,35.0,75.0,115.0,60.0,86.0,Medium Slow,1.0,2.0,1.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,0.0,2.0,2.0,0.5,1.0,0.5,2.0,2.0
216,Teddiursa,2,0,0,0,Little Bear Pokémon,1,Normal,,0.6,8.8,3,Pickup,Quick Feet,Honey Gather,330.0,60.0,80.0,50.0,50.0,50.0,40.0,120.0,66.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
217,Ursaring,2,0,0,0,Hibernator Pokémon,1,Normal,,1.8,125.8,3,Guts,Quick Feet,Unnerve,500.0,90.0,130.0,75.0,75.0,75.0,55.0,60.0,175.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
218,Slugma,2,0,0,0,Lava Pokémon,1,Fire,,0.7,35.0,3,Magma Armor,Flame Body,Weak Armor,250.0,40.0,40.0,40.0,70.0,40.0,20.0,190.0,50.0,Medium Fast,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
219,Magcargo,2,0,0,0,Lava Pokémon,2,Fire,Rock,0.8,55.0,3,Magma Armor,Flame Body,Weak Armor,430.0,60.0,50.0,120.0,90.0,80.0,30.0,75.0,151.0,Medium Fast,0.5,0.25,4.0,1.0,1.0,0.5,2.0,0.5,4.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
220,Swinub,2,0,0,0,Pig Pokémon,2,Ice,Ground,0.4,6.5,3,Oblivious,Snow Cloak,Thick Fat,250.0,50.0,50.0,40.0,30.0,30.0,50.0,225.0,50.0,Slow,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
221,Piloswine,2,0,0,0,Swine Pokémon,2,Ice,Ground,1.1,55.8,3,Oblivious,Snow Cloak,Thick Fat,450.0,100.0,100.0,80.0,60.0,60.0,50.0,75.0,158.0,Slow,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
222,Corsola,2,0,0,0,Coral Pokémon,2,Water,Rock,0.6,5.0,3,Hustle,Natural Cure,Regenerator,410.0,65.0,55.0,95.0,65.0,95.0,35.0,60.0,144.0,Fast,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
222,Galarian Corsola,2,0,0,0,Coral Pokémon,1,Ghost,,0.6,0.5,2,Weak Armor,,Cursed Body,410.0,60.0,55.0,100.0,65.0,100.0,30.0,,,Fast,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0
223,Remoraid,2,0,0,0,Jet Pokémon,1,Water,,0.6,12.0,3,Hustle,Sniper,Moody,300.0,35.0,65.0,35.0,65.0,35.0,65.0,190.0,60.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
224,Octillery,2,0,0,0,Jet Pokémon,1,Water,,0.9,28.5,3,Suction Cups,Sniper,Moody,480.0,75.0,105.0,75.0,105.0,75.0,45.0,75.0,168.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
225,Delibird,2,0,0,0,Delivery Pokémon,2,Ice,Flying,0.9,16.0,3,Vital Spirit,Hustle,Insomnia,330.0,45.0,55.0,45.0,65.0,45.0,75.0,45.0,116.0,Fast,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,2.0,1.0
226,Mantine,2,0,0,0,Kite Pokémon,2,Water,Flying,2.1,220.0,3,Swift Swim,Water Absorb,Water Veil,485.0,85.0,40.0,70.0,80.0,140.0,70.0,25.0,170.0,Slow,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
227,Skarmory,2,0,0,0,Armor Bird Pokémon,2,Steel,Flying,1.7,50.5,3,Keen Eye,Sturdy,Weak Armor,465.0,65.0,80.0,140.0,40.0,70.0,70.0,25.0,163.0,Slow,0.5,2.0,1.0,2.0,0.25,1.0,1.0,0.0,0.0,0.5,0.5,0.25,1.0,1.0,0.5,1.0,0.5,0.5
228,Houndour,2,0,0,0,Dark Pokémon,2,Dark,Fire,0.6,10.8,3,Early Bird,Flash Fire,Unnerve,330.0,45.0,60.0,30.0,80.0,50.0,65.0,120.0,66.0,Slow,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0
229,Houndoom,2,0,0,0,Dark Pokémon,2,Dark,Fire,1.4,35.0,3,Early Bird,Flash Fire,Unnerve,500.0,75.0,90.0,50.0,110.0,80.0,95.0,45.0,175.0,Slow,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0
229,Mega Houndoom,2,0,0,0,Dark Pokémon,2,Dark,Fire,1.9,49.5,1,Solar Power,,,600.0,75.0,90.0,90.0,140.0,90.0,115.0,45.0,210.0,Slow,1.0,0.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0
230,Kingdra,2,0,0,0,Dragon Pokémon,2,Water,Dragon,1.8,152.0,3,Swift Swim,Sniper,Damp,540.0,75.0,95.0,95.0,95.0,95.0,85.0,45.0,243.0,Medium Fast,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0
231,Phanpy,2,0,0,0,Long Nose Pokémon,1,Ground,,0.5,33.5,2,Pickup,,Sand Veil,330.0,90.0,60.0,60.0,40.0,40.0,40.0,120.0,66.0,Medium Fast,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
232,Donphan,2,0,0,0,Armor Pokémon,1,Ground,,1.1,120.0,2,Sturdy,,Sand Veil,500.0,90.0,120.0,120.0,60.0,60.0,50.0,60.0,175.0,Medium Fast,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
233,Porygon2,2,0,0,0,Virtual Pokémon,1,Normal,,0.6,32.5,3,Trace,Download,Analytic,515.0,85.0,80.0,90.0,105.0,95.0,60.0,45.0,180.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
234,Stantler,2,0,0,0,Big Horn Pokémon,1,Normal,,1.4,71.2,3,Intimidate,Frisk,Sap Sipper,465.0,73.0,95.0,62.0,85.0,65.0,85.0,45.0,163.0,Slow,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
235,Smeargle,2,0,0,0,Painter Pokémon,1,Normal,,1.2,58.0,3,Own Tempo,Technician,Moody,250.0,55.0,20.0,35.0,20.0,45.0,75.0,45.0,88.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
236,Tyrogue,2,0,0,0,Scuffle Pokémon,1,Fighting,,0.7,21.0,3,Guts,Steadfast,Vital Spirit,210.0,35.0,35.0,35.0,35.0,35.0,35.0,75.0,42.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
237,Hitmontop,2,0,0,0,Handstand Pokémon,1,Fighting,,1.4,48.0,3,Intimidate,Technician,Steadfast,455.0,50.0,95.0,95.0,35.0,110.0,70.0,45.0,159.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
238,Smoochum,2,0,0,0,Kiss Pokémon,2,Ice,Psychic,0.4,6.0,3,Oblivious,Forewarn,Hydration,305.0,45.0,30.0,15.0,85.0,65.0,65.0,45.0,61.0,Medium Fast,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,2.0,2.0,1.0,2.0,2.0,1.0
239,Elekid,2,0,0,0,Electric Pokémon,1,Electric,,0.6,23.5,2,Static,,Vital Spirit,360.0,45.0,63.0,37.0,65.0,55.0,95.0,45.0,72.0,Medium Fast,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
240,Magby,2,0,0,0,Live Coal Pokémon,1,Fire,,0.7,21.4,2,Flame Body,,Vital Spirit,365.0,45.0,75.0,37.0,70.0,55.0,83.0,45.0,73.0,Medium Fast,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
241,Miltank,2,0,0,0,Milk Cow Pokémon,1,Normal,,1.2,75.5,3,Thick Fat,Scrappy,Sap Sipper,490.0,95.0,80.0,105.0,40.0,70.0,100.0,45.0,172.0,Slow,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
242,Blissey,2,0,0,0,Happiness Pokémon,1,Normal,,1.5,46.8,3,Natural Cure,Serene Grace,Healer,540.0,255.0,10.0,10.0,75.0,135.0,55.0,30.0,608.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
243,Raikou,2,1,0,0,Thunder Pokémon,1,Electric,,1.9,178.0,2,Pressure,,Inner Focus,580.0,90.0,85.0,75.0,115.0,100.0,115.0,3.0,261.0,Slow,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
244,Entei,2,1,0,0,Volcano Pokémon,1,Fire,,2.1,198.0,2,Pressure,,Inner Focus,580.0,115.0,115.0,85.0,90.0,75.0,100.0,3.0,261.0,Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
245,Suicune,2,1,0,0,Aurora Pokémon,1,Water,,2.0,187.0,2,Pressure,,Inner Focus,580.0,100.0,75.0,115.0,90.0,115.0,85.0,3.0,261.0,Slow,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
246,Larvitar,2,0,0,0,Rock Skin Pokémon,2,Rock,Ground,0.6,72.0,2,Guts,,Sand Veil,300.0,50.0,64.0,50.0,45.0,50.0,41.0,45.0,60.0,Slow,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
247,Pupitar,2,0,0,0,Hard Shell Pokémon,2,Rock,Ground,1.2,152.0,1,Shed Skin,,,410.0,70.0,84.0,70.0,65.0,70.0,51.0,45.0,144.0,Slow,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
248,Tyranitar,2,0,0,0,Armor Pokémon,2,Rock,Dark,2.0,202.0,2,Sand Stream,,Unnerve,600.0,100.0,134.0,110.0,95.0,100.0,61.0,45.0,270.0,Slow,0.5,0.5,2.0,1.0,2.0,1.0,4.0,0.5,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0
248,Mega Tyranitar,2,0,0,0,Armor Pokémon,2,Rock,Dark,2.5,255.0,1,Sand Stream,,,700.0,100.0,164.0,150.0,95.0,120.0,71.0,45.0,315.0,Slow,0.5,0.5,2.0,1.0,2.0,1.0,4.0,0.5,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0
249,Lugia,2,0,1,0,Diving Pokémon,2,Psychic,Flying,5.2,216.0,2,Pressure,,Multiscale,680.0,106.0,90.0,130.0,90.0,154.0,110.0,3.0,306.0,Slow,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0
250,Ho-oh,2,0,1,0,Rainbow Pokémon,2,Fire,Flying,3.8,199.0,2,Pressure,,Regenerator,680.0,106.0,130.0,90.0,110.0,154.0,90.0,3.0,306.0,Slow,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
251,Celebi,2,0,0,1,Time Travel Pokémon,2,Psychic,Grass,0.6,5.0,1,Natural Cure,,,600.0,100.0,100.0,100.0,100.0,100.0,100.0,45.0,270.0,Medium Slow,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0
252,Treecko,3,0,0,0,Wood Gecko Pokémon,1,Grass,,0.5,5.0,2,Overgrow,,Unburden,310.0,40.0,45.0,35.0,65.0,55.0,70.0,45.0,62.0,Medium Slow,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
253,Grovyle,3,0,0,0,Wood Gecko Pokémon,1,Grass,,0.9,21.6,2,Overgrow,,Unburden,405.0,50.0,65.0,45.0,85.0,65.0,95.0,45.0,142.0,Medium Slow,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
254,Sceptile,3,0,0,0,Forest Pokémon,1,Grass,,1.7,52.2,2,Overgrow,,Unburden,530.0,70.0,85.0,65.0,105.0,85.0,120.0,45.0,239.0,Medium Slow,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
254,Mega Sceptile,3,0,0,0,Forest Pokémon,2,Grass,Dragon,1.9,55.2,1,Lightning Rod,,,630.0,70.0,110.0,75.0,145.0,85.0,145.0,45.0,284.0,Medium Slow,1.0,1.0,0.25,0.0,0.25,4.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
255,Torchic,3,0,0,0,Chick Pokémon,1,Fire,,0.4,2.5,2,Blaze,,Speed Boost,310.0,45.0,60.0,40.0,70.0,50.0,45.0,45.0,62.0,Medium Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
256,Combusken,3,0,0,0,Young Fowl Pokémon,2,Fire,Fighting,0.9,19.5,2,Blaze,,Speed Boost,405.0,60.0,85.0,60.0,85.0,60.0,55.0,45.0,142.0,Medium Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
257,Blaziken,3,0,0,0,Blaze Pokémon,2,Fire,Fighting,1.9,52.0,2,Blaze,,Speed Boost,530.0,80.0,120.0,70.0,110.0,70.0,80.0,45.0,239.0,Medium Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
257,Mega Blaziken,3,0,0,0,Blaze Pokémon,2,Fire,Fighting,1.9,52.0,1,Speed Boost,,,630.0,80.0,160.0,80.0,130.0,80.0,100.0,45.0,284.0,Medium Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
258,Mudkip,3,0,0,0,Mud Fish Pokémon,1,Water,,0.4,7.6,2,Torrent,,Damp,310.0,50.0,70.0,50.0,50.0,50.0,40.0,45.0,62.0,Medium Slow,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
259,Marshtomp,3,0,0,0,Mud Fish Pokémon,2,Water,Ground,0.7,28.0,2,Torrent,,Damp,405.0,70.0,85.0,70.0,60.0,70.0,50.0,45.0,142.0,Medium Slow,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
260,Swampert,3,0,0,0,Mud Fish Pokémon,2,Water,Ground,1.5,81.9,2,Torrent,,Damp,535.0,100.0,110.0,90.0,85.0,90.0,60.0,45.0,241.0,Medium Slow,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
260,Mega Swampert,3,0,0,0,Mud Fish Pokémon,2,Water,Ground,1.9,102.0,1,Swift Swim,,,635.0,100.0,150.0,110.0,95.0,110.0,70.0,45.0,286.0,Medium Slow,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
261,Poochyena,3,0,0,0,Bite Pokémon,1,Dark,,0.5,13.6,3,Run Away,Quick Feet,Rattled,220.0,35.0,55.0,35.0,30.0,30.0,35.0,255.0,56.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
262,Mightyena,3,0,0,0,Bite Pokémon,1,Dark,,1.0,37.0,3,Intimidate,Quick Feet,Moxie,420.0,70.0,90.0,70.0,60.0,60.0,70.0,127.0,147.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
263,Zigzagoon,3,0,0,0,TinyRaccoon Pokémon,1,Normal,,0.4,17.5,3,Pickup,Gluttony,Quick Feet,240.0,38.0,30.0,41.0,30.0,41.0,60.0,255.0,56.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
263,Galarian Zigzagoon,3,0,0,0,Tiny Raccoon Pokémon,2,Dark,Normal,0.4,17.5,3,Pickup,Gluttony,Quick Feet,240.0,38.0,30.0,41.0,30.0,41.0,60.0,,,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
